GIORNATA,DATA,ORARIO,SQUADRA1,SQUADRA2,RISULTATO FINALE
24,09-02-2025,15:00,Cagliari,Parma,2-1
24,09-02-2025,15:00,Lazio,Monza,5-1
24,09-02-2025,18:00,Lecce,Bologna,0-0
24,09-02-2025,20:45,Napoli,Udinese,1-1
24,10-02-2025,20:45,Inter,Fiorentina,2-1
25,14-02-2025,20:45,Bologna,Torino,3-2
25,15-02-2025,15:00,Atalanta,Cagliari,0-0
25,15-02-2025,18:00,Lazio,Napoli,2-2
25,15-02-2025,20:45,Milan,Verona,1-0
25,16-02-2025,12:30,Fiorentina,Como,0-2
25,16-02-2025,15:00,Monza,Lecce,0-0
25,16-02-2025,15:00,Udinese,Empoli,3-0
25,16-02-2025,18:00,Parma,Roma,0-1
25,16-02-2025,20:45,Juventus,Inter,1-0
25,17-02-2025,20:45,Genoa,Venezia,2-0
26,21-02-2025,20:45,Lecce,Udinese,0-1
26,22-02-2025,15:00,Parma,Bologna,2-0
26,22-02-2025,15:00,Venezia,Lazio,0-0
26,22-02-2025,18:00,Torino,Milan,2-1
26,22-02-2025,20:45,Inter,Genoa,1-0
26,23-02-2025,12:30,Como,Napoli,2-1
26,23-02-2025,15:00,Verona,Fiorentina,1-0
26,23-02-2025,18:00,Empoli,Atalanta,0-5
26,23-02-2025,20:45,Cagliari,Juventus,0-1
26,24-02-2025,20:45,Roma,Monza,4-0
27,28-02-2025,20:45,Fiorentina,Lecce,1-0
27,01-03-2025,15:00,Atalanta,Venezia,0-0
27,01-03-2025,18:00,Napoli,Inter,1-1
27,01-03-2025,20:45,Udinese,Parma,1-0
27,02-03-2025,12:30,Monza,Torino,0-2
27,02-03-2025,15:00,Bologna,Cagliari,2-1
27,02-03-2025,15:00,Genoa,Empoli,1-1
27,02-03-2025,18:00,Roma,Como,2-1
27,02-03-2025,20:45,Milan,Lazio,1-2
27,03-03-2025,20:45,Juventus,Verona,2-0
28,07-03-2025,20:45,Cagliari,Genoa,1-1
28,08-03-2025,15:00,Como,Venezia,1-1
28,08-03-2025,15:00,Parma,Torino,2-2
28,08-03-2025,18:00,Lecce,Milan,2-3
28,08-03-2025,20:45,Inter,Monza,3-2
28,09-03-2025,12:30,Verona,Bologna,1-2
28,09-03-2025,15:00,Napoli,Fiorentina,2-1
28,09-03-2025,18:00,Empoli,Roma,0-1
28,09-03-2025,20:45,Juventus,Atalanta,0-4
28,10-03-2025,20:45,Lazio,Udinese,1-1
29,14-03-2025,20:45,Genoa,Lecce,2-1
29,15-03-2025,15:00,Monza,Parma,1-1
29,15-03-2025,15:00,Udinese,Verona,0-1
29,15-03-2025,18:00,Milan,Como,2-1
29,15-03-2025,20:45,Torino,Empoli,1-0
29,16-03-2025,12:30,Venezia,Napoli,0-0
29,16-03-2025,15:00,Bologna,Lazio,5-0
29,16-03-2025,16:00,Roma,Cagliari,1-0
29,16-03-2025,18:00,Fiorentina,Juventus,3-0
29,16-03-2025,20:45,Atalanta,Inter,0-2
30,29-03-2025,15:00,Como,Empoli,1-1
30,29-03-2025,15:00,Venezia,Bologna,0-1
30,29-03-2025,18:00,Juventus,Genoa,1-0
30,29-03-2025,20:45,Lecce,Roma,0-1
30,30-03-2025,12:30,Cagliari,Monza,3-0
30,30-03-2025,15:00,Fiorentina,Atalanta,1-0
30,30-03-2025,18:00,Inter,Udinese,2-1
30,30-03-2025,20:45,Napoli,Milan,2-1
30,31-03-2025,18:30,Verona,Parma,0-0
30,31-03-2025,20:45,Lazio,Torino,1-1
31,04-04-2025,20:45,Genoa,Udinese,1-0
31,05-04-2025,15:00,Monza,Como,1-3
31,05-04-2025,18:00,Parma,Inter,2-2
31,05-04-2025,20:45,Milan,Fiorentina,2-2
31,06-04-2025,12:30,Lecce,Venezia,1-1
31,06-04-2025,15:00,Empoli,Cagliari,0-0
31,06-04-2025,15:00,Torino,Verona,1-1
31,06-04-2025,18:00,Atalanta,Lazio,0-1
31,06-04-2025,20:45,Roma,Juventus,1-1
31,07-04-2025,20:45,Bologna,Napoli,1-1
32,11-04-2025,20:45,Udinese,Milan,0-4
32,12-04-2025,15:00,Venezia,Monza,1-0
32,12-04-2025,18:00,Inter,Cagliari,3-1
32,12-04-2025,20:45,Juventus,Lecce,2-1
32,13-04-2025,12:30,Atalanta,Bologna,2-0
